time,pwm,ax,ay,az,gx,gy,gz,vibration,label
808162,0,-0.0305,-0.0094,-0.0220,-2.70,1.13,5.89,0.0424,2
808165,0,0.0228,-0.0304,-0.0087,-2.18,3.47,3.68,0.0422,2
808174,0,-0.0380,0.0158,-0.0132,-0.82,1.76,5.97,0.0400,2
808184,0,0.0277,-0.0085,-0.0351,-1.66,1.89,1.35,0.0411,2
808194,0,-0.0166,0.0048,-0.0171,-0.01,-0.01,-0.01,0.0397,2
808204,0,0.0007,0.0054,0.0086,-0.92,3.27,-0.40,0.0372,2
808214,0,0.0155,-0.0199,-0.0339,-2.01,1.44,4.27,0.0376,2
808224,0,-0.0312,-0.0041,0.0208,-1.96,2.05,-1.47,0.0385,2
808234,0,0.0297,-0.0456,-0.0304,-2.58,1.82,5.28,0.0403,2
808244,0,-0.0176,0.0032,0.0153,-1.75,3.47,1.83,0.0391,2
808254,0,0.0194,-0.0295,-0.0206,-3.04,1.92,-0.10,0.0394,2
808264,0,-0.0315,0.0089,-0.0013,-2.10,0.97,0.24,0.0388,2
808274,0,0.0277,-0.0416,-0.0036,-4.24,2.72,-2.43,0.0396,2
808284,0,0.0100,-0.0507,-0.0275,-3.72,1.15,2.93,0.0413,2
808294,0,-0.0324,-0.0069,0.0170,-0.37,3.23,1.24,0.0422,2
808304,0,-0.0146,0.0020,-0.0290,-3.69,1.33,6.02,0.0433,2
808314,0,-0.0083,-0.0025,0.0067,-1.72,3.47,-2.79,0.0414,2
808324,0,0.0158,-0.0147,-0.0309,-1.78,0.97,2.47,0.0414,2
808334,0,-0.0373,-0.0125,0.0206,-2.14,3.39,0.63,0.0390,2
808344,0,0.0294,-0.0318,-0.0279,-1.69,2.09,3.87,0.0416,2
808354,0,-0.0411,0.0145,0.0087,-1.64,2.04,2.00,0.0420,2
808364,0,0.0279,-0.0396,-0.0214,-2.52,2.36,-0.03,0.0440,2
808374,0,-0.0387,-0.0093,-0.0036,-1.40,2.42,3.89,0.0429,2
808384,0,0.0264,-0.0334,-0.0061,-2.47,3.02,1.88,0.0410,2
808394,0,-0.0391,-0.0063,0.0223,-1.58,2.68,2.59,0.0419,2
808404,0,0.0150,-0.0005,0.0010,-0.76,3.33,-1.79,0.0409,2
808414,0,0.0251,-0.0219,-0.0129,-3.17,1.89,-1.36,0.0423,2
808424,0,-0.0098,-0.0059,0.0146,-2.63,3.19,-1.76,0.0410,2
808434,0,0.0119,-0.0399,-0.0335,-1.90,1.39,4.31,0.0420,2
808444,0,-0.0367,0.0108,0.0213,-1.73,2.68,1.84,0.0411,2
808454,0,0.0300,-0.0316,-0.0304,-3.47,2.00,3.51,0.0422,2
808464,0,-0.0398,0.0097,0.0080,-0.70,1.61,0.34,0.0409,2
808474,0,0.0256,-0.0269,-0.0198,-3.93,2.20,-2.21,0.0411,2
808484,0,-0.0168,-0.0108,-0.0256,-3.91,0.71,2.46,0.0401,2
808494,0,0.0277,-0.0235,-0.0033,-1.10,3.14,1.15,0.0392,2
808504,0,-0.0369,-0.0056,-0.0176,-2.03,1.83,7.16,0.0410,2
808514,0,-0.0369,0.0107,0.0130,-1.18,3.43,2.12,0.0415,2
808524,0,-0.0322,-0.0164,-0.0083,-1.82,1.26,0.19,0.0427,2
808534,0,0.0262,-0.0354,-0.0068,-2.81,3.16,-2.33,0.0417,2
808544,0,-0.0057,-0.0230,0.0138,-1.75,3.60,0.56,0.0402,2
