time,pwm,ax,ay,az,gx,gy,gz,vibration,label
2923885,150,0.0219,0.0363,-0.0242,-0.34,0.31,2.15,0.0412,1
2923888,150,-0.0267,0.0435,0.0200,-3.11,3.39,2.65,0.0408,1
2923897,150,-0.0042,-0.0304,-0.0095,-2.92,2.42,-1.19,0.0400,1
2923907,150,-0.0251,-0.0268,-0.0859,-2.02,2.16,3.02,0.0479,1
2923917,150,0.0723,-0.0331,0.0274,-2.52,2.89,0.76,0.0536,1
2923927,150,0.0001,-0.0225,-0.0698,-2.26,0.38,2.45,0.0574,1
2923937,150,-0.0770,0.0740,-0.0500,-2.75,0.81,5.31,0.0676,1
2923947,150,0.0555,-0.0206,-0.0031,-3.53,0.71,0.61,0.0697,1
2924956,150,0.0555,-0.0206,-0.0031,-3.53,0.71,0.61,0.0714,1
2924959,150,0.0202,-0.0516,-0.0150,-3.08,2.32,0.82,0.0720,1
2924968,150,0.0335,-0.0515,0.0302,-3.80,4.30,1.15,0.0736,1
2924978,150,-0.1033,0.0144,-0.0362,-2.96,5.60,5.29,0.0796,1
2924988,150,0.0302,-0.1033,-0.0375,-3.34,2.47,1.55,0.0867,1
2924997,150,0.0302,-0.1033,-0.0375,-3.34,2.47,1.55,0.0892,1
2925008,150,0.0563,0.0296,0.0291,1.77,-1.34,-3.99,0.0879,1
2925018,150,-0.0735,0.0587,0.0080,-0.32,4.48,4.68,0.0899,1
2925028,150,-0.0920,0.0641,0.0150,-1.18,3.75,0.88,0.0893,1
2925038,150,0.0305,-0.0174,-0.0213,-6.04,0.56,4.81,0.0883,1
2925048,150,-0.1124,0.0374,-0.0948,-5.85,0.21,1.85,0.0987,1
2925058,150,0.0235,-0.0001,-0.0379,-3.15,-4.09,-3.02,0.0981,1
2925068,150,0.0023,0.1931,0.0121,2.80,1.15,-4.25,0.1135,1
2925078,150,-0.0359,0.1187,-0.0311,0.27,1.20,7.72,0.1154,1
2925087,150,-0.0359,0.1187,-0.0311,0.27,1.20,7.72,0.1168,1
2925098,150,0.0418,-0.0010,0.0477,-2.15,-0.78,-0.20,0.1129,1
2925108,150,-0.0400,0.0221,-0.0733,-4.25,-1.05,0.32,0.1140,1
2925118,150,0.0461,0.0010,-0.0266,-2.08,1.14,2.53,0.1113,1
2925128,150,0.0703,-0.0119,0.0701,-3.66,2.19,-2.13,0.1101,1
2925138,150,-0.0160,-0.0833,0.0352,-1.06,4.76,3.18,0.1131,1
2925148,150,-0.0787,0.0056,0.0460,-4.14,3.32,2.63,0.1064,1
2925158,150,-0.0143,-0.0172,0.0587,-0.44,4.77,-0.92,0.1073,1
2925168,150,-0.0467,0.0800,-0.0220,-0.52,2.81,3.38,0.0932,1
2925178,150,0.0388,0.0304,-0.0243,-3.34,1.05,1.40,0.0857,1
2925188,150,0.0093,0.0207,-0.0718,-2.23,2.07,-0.76,0.0792,1
2925198,150,-0.0328,0.0663,-0.0462,-4.31,1.07,4.40,0.0815,1
2925208,150,0.0224,0.0319,-0.1052,-4.29,-1.13,2.32,0.0846,1
2925218,150,0.0403,-0.0369,0.0878,-1.05,1.61,-6.20,0.0891,1
2925228,150,-0.0205,0.0494,0.0346,2.70,5.59,3.11,0.0857,1
2925238,150,0.1261,-0.0107,0.0386,-3.77,-2.61,-1.45,0.0908,1
2925248,150,-0.1033,0.1203,-0.0023,1.29,6.64,11.40,0.0996,1
2925258,150,-0.0997,0.0277,-0.0554,-3.51,8.64,2.02,0.1045,1
2925268,150,0.1234,-0.0789,0.0972,-2.69,-0.69,-8.65,0.1144,1
2925278,150,0.0646,0.1180,-0.0794,-0.77,-0.90,6.73,0.1234,1
2925288,150,0.0497,0.0355,-0.0266,-7.24,-0.79,0.24,0.1229,1
2925298,150,-0.0052,0.0352,0.0668,-1.97,-1.97,-1.97,0.1222,1
2925308,150,0.1747,-0.1239,0.0954,-0.73,-5.72,-8.61,0.1384,1
2925318,150,-0.0908,0.0719,-0.0185,-3.82,-4.55,1.03,0.1395,1
2925328,150,0.1835,-0.0339,0.0789,-1.91,-6.02,-4.54,0.1522,1
2925338,150,-0.0820,0.0607,-0.0237,-1.36,5.63,1.54,0.1500,1
2925348,150,0.0109,0.0332,-0.0495,-1.39,0.34,-3.21,0.1427,1
2925358,150,-0.0378,0.2059,-0.1189,0.40,0.74,7.37,0.1574,1
2925368,150,0.0077,0.0416,-0.0383,-0.53,1.44,-3.50,0.1484,1
2925378,150,0.0499,-0.0399,0.0358,-0.48,-0.82,-1.05,0.1418,1
2925388,150,-0.0561,0.0407,-0.0788,-2.56,-0.04,1.73,0.1441,1
